X,Y,AGEB
-96.7743363198638,16.9827900601038,200230001006A
-96.7745687395484,16.98283099955,200230001006A
-96.7748149102067,16.9828743802405,200230001006A
-96.7749416899566,16.9829333196757,200230001006A
-96.7753698500268,16.9831538902072,200230001006A
-96.7759072803429,16.9834848795613,200230001006A
-96.7765173102631,16.9835613203629,200230001006A
-96.7767805697622,16.9838461701484,200230001006A
-96.777008950099,16.9840195201914,200230001006A
-96.7774672795404,16.984325050347,200230001006A
-96.7777022599132,16.9844743702841,200230001006A
-96.7778284304112,16.9845345199238,200230001006A
-96.777943430353,16.9846054501822,200230001006A
-96.7781658804205,16.9847644203128,200230001006A
-96.7783516800961,16.9849615798216,200230001006A
-96.7785984503387,16.9850447503675,200230001006A
-96.7791495404478,16.9850945496036,200230001006A
-96.7788887703056,16.9855501197366,200230001006A
-96.7787810498128,16.9868543698677,200230001006A
-96.7787605395686,16.9873784499586,200230001006A
-96.7787145702326,16.9884881996766,200230001006A
-96.7786939802597,16.9888040802247,200230001006A
-96.7786933095366,16.9888143104022,200230001006A
-96.7786988299935,16.9896091699766,200230001006A
-96.778678260337,16.9901946003924,200230001006A
-96.778648720217,16.9912464598818,200230001006A
-96.7786017803467,16.9915247098036,200230001006A
-96.7786272799679,16.991619909691,200230001006A
-96.7786383798608,16.9917037703392,200230001006A
-96.7786231202329,16.9925706297726,200230001006A
-96.778580310251,16.9928379502328,200230001006A
-96.7785634498362,16.9932299797762,200230001006A
-96.7785596003594,16.993268879825,200230001006A
-96.7785926001882,16.9934518797896,200230001006A
-96.7786266904522,16.9935052801737,200230001006A
-96.7786766895756,16.9935835803179,200230001006A
-96.7788577097971,16.993742310015,200230001006A
-96.7791505401288,16.9939859401241,200230001006A
-96.7792603799,16.9941594802441,200230001006A
-96.7793921695839,16.9944293499884,200230001006A
-96.7795279202244,16.995321290185,200230001006A
-96.7795370198758,16.9955029996223,200230001006A
-96.7795300903677,16.9957076297773,200230001006A
-96.7794687698894,16.9958246000253,200230001006A
-96.7793656604708,16.9960213099321,200230001006A
-96.7796222003185,16.9961062502899,200230001006A
-96.779713460348,16.9961364596725,200230001006A
-96.7797671496486,16.9961606299116,200230001006A
-96.7797385497127,16.9963246302464,200230001006A
-96.7797142595373,16.9968783802365,200230001006A
-96.7797092500267,16.9971682001385,200230001006A
-96.7796844199333,16.9978827696783,200230001006A
-96.7796663201937,16.9984003198406,200230001006A
-96.7796810803675,16.999224109692,200230001006A
-96.7796285395285,16.9994297104019,200230001006A
-96.7795723698302,16.9999742200408,200230001006A
-96.7794931100287,17.0003147202689,200230001006A
-96.7794560297824,17.0005872600812,200230001006A
-96.7794487698102,17.0006816196811,200230001006A
-96.7793581795716,17.000700659619,200230001006A
-96.7792514898661,17.0007514797516,200230001006A
-96.7791421403624,17.0008580597562,200230001006A
-96.7790581995662,17.0009752302549,200230001006A
-96.7789752501092,17.0010910596754,200230001006A
-96.7789422900227,17.0011676803083,200230001006A
-96.7789147802189,17.0012944200674,200230001006A
-96.7788731099214,17.001432539957,200230001006A
-96.7788208197756,17.0016225103767,200230001006A
-96.7787697503547,17.0018081803205,200230001006A
-96.7787506299182,17.0019453100543,200230001006A
-96.778745220307,17.0019998499782,200230001006A
-96.7787255195985,17.0020936003867,200230001006A
-96.778692310173,17.0021445797969,200230001006A
-96.7786693104581,17.0021744597065,200230001006A
-96.7786114001113,17.0021692296616,200230001006A
-96.7785415203107,17.0021159102842,200230001006A
-96.778334649608,17.0018109501244,200230001006A
-96.7782684196009,17.001639650021,200230001006A
-96.7782428204186,17.0014950298245,200230001006A
-96.7781080597932,17.0013492196972,200230001006A
-96.7779805201445,17.0012167999833,200230001006A
-96.7779598602473,17.0011953403728,200230001006A
-96.7778653697509,17.0010972499418,200230001006A
-96.7776916903709,17.0007804300485,200230001006A
-96.7776525999865,17.0006225402251,200230001006A
-96.7775725801655,17.0004642004079,200230001006A
-96.7774980802118,17.0003490001535,200230001006A
-96.772984020443,16.9822768596945,2002300010036
-96.7728591800221,16.9820726598085,2002300010036
-96.7728180000385,16.981998250222,2002300010036
-96.7725363397516,16.9815006898768,2002300010036
-96.7720981502813,16.980726660266,2002300010036
-96.7718209496261,16.980276970115,2002300010036
-96.7717104299006,16.9800976602027,2002300010036
-96.7713616896745,16.9795318895913,2002300010036
-96.7713437500777,16.9795040304177,2002300010036
-96.7707045799773,16.9784421399229,2002300010036
-96.7700919496591,16.9774279400963,2002300010036
-96.7693457195785,16.9762088297356,2002300010036
-96.7686241402247,16.9750384498924,2002300010036
-96.7678475402514,16.973786619952,2002300010036
-96.7677851404116,16.9736812002659,2002300010036
-96.7671221104134,16.9725613797839,2002300010036
-96.7667613798803,16.9719713401835,2002300010036
-96.7667469998723,16.9719222201255,2002300010036
-96.7675850596856,16.9720356196167,2002300010036
-96.7678741196758,16.9720730595659,2002300010036
-96.7680639498738,16.9720897499224,2002300010036
-96.7681577197396,16.9720983203588,2002300010036
-96.7685342602222,16.972132740441,2002300010036
-96.768626370067,16.9721498896683,2002300010036
-96.7689465995523,16.9722139097377,2002300010036
-96.7691936302169,16.9722569702721,2002300010036
-96.7694553103254,16.9723042203144,2002300010036
-96.7695703697548,16.9723317100389,2002300010036
-96.7697740000461,16.9723737398484,2002300010036
-96.7703028497943,16.9724829399052,2002300010036
-96.770535219828,16.9725258195473,2002300010036
-96.7708344799706,16.9725875999265,2002300010036
-96.771077250274,16.9726386600859,2002300010036
-96.771370279677,16.9726963400851,2002300010036
